customer_id,customer_name,industry,country,region,risk_score,credit_limit
C00109,Jones Inc,Auto,Norfolk Island,APAC,23,3703023
C00110,Oconnor Group,Pharma,Thailand,MEA,17,3900956
C00111,"Gomez, Russo and Webb",Pharma,French Southern Territories,Europe,87,1821725
C00112,Brown Ltd,Pharma,Russian Federation,MEA,39,4105232
C00113,"Allen, Miller and Sanchez",Pharma,Ghana,Americas,63,3647880
C00114,Lee-Cruz,Auto,Congo,Europe,6,3738995
C00115,Phillips-Wiley,FMCG,Burundi,Europe,94,2794448
C00116,Jones and Sons,Electronics,Slovenia,APAC,33,2728209
C00117,Lawrence Group,Auto,Sierra Leone,Americas,36,3253085
C00118,Newton-Collins,FMCG,Pakistan,MEA,30,2053405
C00119,"Schultz, Clark and Calderon",Electronics,Jersey,MEA,72,4891050
C00120,Jackson-Mcconnell,Auto,Armenia,Americas,80,514287
C00121,Owens-Brooks,FMCG,Zambia,Americas,61,3775189
C00122,Brady-Miller,FMCG,Mauritania,Europe,4,631421
C00123,Choi Inc,Electronics,Cayman Islands,Europe,96,936045
C00124,Page and Sons,FMCG,Bahrain,Americas,89,202014
C00125,Stanton-Mitchell,Auto,Guernsey,Europe,49,2188699
C00126,Scott Inc,Retail,Saint Barthelemy,MEA,21,1901852
C00127,Mendoza-Wright,Retail,Samoa,MEA,55,1088403
C00128,"Meadows, Martin and Harper",FMCG,Cook Islands,Europe,67,4793769
C00129,"Edwards, Jordan and Reid",Auto,Pitcairn Islands,Americas,19,2186094
C00130,White-Smith,Pharma,Kiribati,Europe,39,3574882
C00131,"Flynn, Baker and Taylor",Pharma,Saint Kitts and Nevis,APAC,35,610833
C00132,Garcia LLC,Electronics,Malta,APAC,35,2224954
C00133,"Patel, Miller and Hernandez",Electronics,United Arab Emirates,Americas,78,2066050
C00134,"Stevenson, Martinez and Smith",Pharma,Bulgaria,Europe,78,2872579
C00135,Schroeder-Watkins,FMCG,Hungary,Europe,70,2858178
C00136,Cox-Morales,FMCG,Sudan,APAC,43,3212489
C00137,Henry Inc,Pharma,Uzbekistan,Europe,31,214461
C00138,Nelson-Barron,Electronics,Malta,Europe,79,4107696
C00139,Brown PLC,Pharma,Turkmenistan,APAC,50,4007456
C00140,"Roman, Rios and Webster",Retail,Italy,Americas,11,3954755
C00141,Donaldson-Lewis,Pharma,Western Sahara,Europe,90,2558760
C00142,Garrett and Sons,Pharma,Cocos (Keeling) Islands,APAC,29,3652510
C00143,Huerta Inc,FMCG,Tokelau,Americas,83,94583
C00144,Thomas-Johnson,Electronics,Serbia,APAC,60,3690074
C00145,Nguyen-Adkins,Retail,Saint Pierre and Miquelon,Europe,15,2079892
C00146,"Roberts, Gill and Lewis",Electronics,Croatia,Americas,75,3047851
C00147,Smith-Lee,Pharma,Antigua and Barbuda,Europe,83,1603795
C00148,Sherman PLC,Retail,Dominican Republic,Europe,91,4067732
C00149,"Jimenez, Robbins and Nunez",Pharma,Tokelau,MEA,91,3495176
C00150,"Melton, Carr and Wagner",FMCG,Rwanda,Europe,61,2718421
C00151,"Lee, Jackson and Taylor",Retail,Estonia,Europe,47,3298794
C00152,Sanchez Ltd,Retail,Montenegro,APAC,36,2002816
C00153,"Hood, Newton and Edwards",FMCG,Luxembourg,MEA,83,3254645
C00154,Robinson Inc,Pharma,Guyana,Europe,4,2429151
C00155,Bird-Russo,Electronics,Chad,Europe,81,1175022
C00156,Elliott-Gibbs,Pharma,Cape Verde,APAC,26,89154
C00157,Davis-Johnson,Pharma,Svalbard & Jan Mayen Islands,MEA,81,3163902
C00158,Simon-Jones,Auto,Netherlands Antilles,Americas,62,2142453
C00159,Jones Ltd,FMCG,Malta,APAC,24,2522511
C00160,Dennis Group,FMCG,Bulgaria,Americas,97,790433
C00161,"Wilson, Ross and Nelson",Retail,Iceland,APAC,25,1072163
C00162,"Rodriguez, Phelps and Herman",FMCG,Zimbabwe,APAC,69,2760029
C00163,Johnson-Johnston,Electronics,Afghanistan,APAC,91,2390397
C00164,Pope PLC,FMCG,Somalia,MEA,60,1550177
C00165,Thompson Group,Pharma,Bulgaria,Americas,43,4899037
C00166,Landry-Paul,Pharma,Hong Kong,MEA,88,2985915
C00167,"Pearson, Davis and Mills",Electronics,Netherlands Antilles,Americas,89,1550419
C00168,Arias-Clark,Retail,Burundi,MEA,77,1844335
C00169,Wells-Miller,Auto,Papua New Guinea,APAC,7,989140
C00170,Smith Ltd,Electronics,Lithuania,Americas,53,3933617
C00171,Cruz Group,Pharma,Burundi,Europe,65,375509
C00172,Washington-Stuart,Retail,Faroe Islands,Americas,40,197062
C00173,Moore-Ramos,Pharma,Saint Martin,Europe,37,4361129
C00174,"Duncan, Watts and Payne",FMCG,Sweden,Europe,38,4910521
C00175,"Russell, Hayes and Mcintyre",Retail,Burundi,MEA,57,2037203
C00176,"Good, Stanley and Stephenson",Pharma,Micronesia,MEA,19,3833628
C00177,Burgess LLC,Electronics,Argentina,Europe,65,927003
C00178,Frost PLC,Auto,Eritrea,MEA,34,2714861
C00179,Wilson and Sons,Pharma,Madagascar,Europe,80,3556635
C00180,Mccall LLC,Retail,Belgium,Americas,61,4906915
C00181,Tran and Sons,FMCG,Greece,Americas,17,3136158
C00182,Meyer-Sharp,Auto,Tonga,Americas,40,111351
C00183,Lee-Madden,Pharma,Saint Lucia,Europe,83,2266673
C00184,"Jensen, Gonzales and Robertson",Electronics,Lao People's Democratic Republic,MEA,21,4720912
C00185,"Martinez, Martinez and Adkins",Auto,American Samoa,Europe,11,4739889
C00186,"Paul, Hill and Cooley",FMCG,Saint Helena,Americas,91,1471184
C00187,Munoz-Gentry,FMCG,Korea,APAC,58,4085669
C00188,Miller-Green,Electronics,Mozambique,Europe,1,4422481
C00189,Gonzales-Fischer,Auto,Ecuador,APAC,61,3262632
C00190,Vaughn LLC,Auto,Antigua and Barbuda,APAC,60,3507914
C00191,Carlson-Case,Electronics,Gibraltar,Europe,42,2622809
C00192,George and Sons,FMCG,Spain,MEA,53,1147748
C00193,Jones and Sons,Pharma,Central African Republic,Europe,60,3518264
C00194,"Taylor, Turner and Mueller",FMCG,Nepal,APAC,21,1093695
C00195,"White, Reynolds and Herrera",Retail,Mali,Americas,48,760747
C00196,"Burch, White and Sellers",Auto,Belgium,Americas,66,1481393
C00197,Williams Ltd,Pharma,Ukraine,APAC,85,2753680
C00198,"Kim, Rich and Maldonado",FMCG,Papua New Guinea,Americas,40,4596113
C00199,Riley and Sons,Auto,Benin,APAC,8,2137725
C00200,Jackson Inc,FMCG,United States Minor Outlying Islands,Europe,81,3456811
C00201,Bates-Greer,Retail,Portugal,APAC,39,2816534
C00202,Evans Group,FMCG,Bahamas,Europe,26,4387287
C00203,Rodriguez-Rivers,Retail,Puerto Rico,Americas,8,1212174
C00204,Hayes-Delacruz,Electronics,Oman,Europe,56,795486
C00205,Howell-Howard,Electronics,French Guiana,MEA,57,3711851
C00206,Francis-Jones,Retail,Samoa,APAC,25,1496938
C00207,Brown-Chavez,Pharma,South Georgia and the South Sandwich Islands,Americas,34,1487900
C00208,"Smith, Bryant and Andrews",FMCG,Haiti,APAC,71,1742008
C00209,Brady LLC,Auto,Pitcairn Islands,Europe,35,2240158
C00210,Woods-Davis,Pharma,Bhutan,MEA,24,3418019
C00211,"Harper, Hill and Hanson",FMCG,Bermuda,MEA,23,103583
C00212,"Willis, Watkins and Watson",Auto,France,Americas,29,3169835
C00213,Hall and Sons,FMCG,Bulgaria,Americas,1,300429
C00214,Morris-Walker,FMCG,Tuvalu,Americas,15,203839
C00215,Patton and Sons,Electronics,Netherlands Antilles,Europe,65,2788627
C00216,Reed-Gutierrez,Electronics,Comoros,APAC,44,1878872
C00217,"Reed, Wallace and Young",FMCG,France,APAC,76,75869
C00218,"Jennings, Smith and Richardson",Auto,Saint Vincent and the Grenadines,Americas,8,2657021
C00219,"Glover, Martinez and Johnson",Electronics,Faroe Islands,Americas,33,3045814
C00220,Hernandez and Sons,Retail,Tonga,APAC,21,604837
C00221,"Silva, Davis and Mcfarland",Pharma,Dominican Republic,MEA,66,398328
C00222,"Davis, Smith and Howell",Auto,Ecuador,Americas,58,4921490
C00223,"Frazier, Gonzalez and Mckinney",Electronics,Wallis and Futuna,Europe,51,3864266
C00224,Mckinney-Pierce,FMCG,China,APAC,63,2659858
C00225,Noble-Garcia,Auto,Bahamas,MEA,62,2870171
C00226,Solis-Carter,Auto,Svalbard & Jan Mayen Islands,APAC,75,3926830
C00227,Dean-Douglas,Retail,El Salvador,Americas,69,2885648
C00228,"Santiago, Smith and Braun",Electronics,Romania,APAC,84,3846074
C00229,Hester-Hawkins,Electronics,Bolivia,Europe,8,3210075
C00230,"Zuniga, Hall and George",Pharma,Mali,Americas,37,4622656
C00231,Peterson-Rogers,Electronics,Netherlands Antilles,MEA,26,3678551
C00232,Morton and Sons,FMCG,Pitcairn Islands,MEA,72,4789362
C00233,Murray Inc,Electronics,Cyprus,APAC,27,2380490
C00234,Blankenship Inc,Auto,Angola,MEA,38,1643399
C00235,"Ray, Morris and Young",Auto,Anguilla,Europe,65,69577
C00236,Morales LLC,FMCG,Belarus,APAC,57,2829483
C00237,Gonzales-Sanders,Pharma,Nepal,Americas,71,4773575
C00238,Mcneil-Brown,Auto,French Guiana,Americas,42,2097322
C00239,"Glass, Carroll and Smith",Pharma,Uruguay,APAC,65,4922648
C00240,Brown-Key,Auto,Malawi,MEA,35,3358188
C00241,Green LLC,Auto,Russian Federation,Europe,92,1273973
C00242,"Greer, Mcfarland and Jimenez",Auto,Lao People's Democratic Republic,APAC,41,1079517
C00243,"Hughes, Russell and Burke",Auto,Belgium,Europe,3,2136872
C00244,"Burke, Harris and Foster",Auto,Bolivia,Europe,91,1527014
C00245,Novak and Sons,Retail,Pakistan,Americas,84,1305278
C00246,"Vasquez, Gill and Lawson",Pharma,Vietnam,MEA,3,903460
C00247,Houston Group,FMCG,Equatorial Guinea,MEA,47,4890144
C00248,Kelly-Clark,Retail,Kyrgyz Republic,APAC,98,2155368
C00249,Olson PLC,Pharma,Cuba,Americas,65,835570
C00250,"Smith, White and Singleton",Retail,Ireland,MEA,20,3306460
C00251,Coleman and Sons,Pharma,Canada,MEA,27,1836191
C00252,Perry Ltd,Retail,Botswana,APAC,46,4462708
C00253,"Davis, Carney and Nguyen",FMCG,Greece,Americas,91,1293474
C00254,"Ross, Frank and Kennedy",Retail,Dominican Republic,Americas,97,2819908
C00255,Smith LLC,Electronics,Australia,Europe,15,2151436
C00256,Allen-Watson,Pharma,Samoa,APAC,3,1601516
C00257,Mason Ltd,Pharma,Central African Republic,Europe,24,2909280
C00258,"Bradley, Thompson and Lawrence",Auto,Pakistan,Europe,83,2563399
C00259,Cox-Marshall,Auto,Belgium,Americas,44,826858
C00260,Martin-Reed,Electronics,Japan,APAC,94,2866628
C00261,Jones PLC,Pharma,Nicaragua,APAC,35,4277994
C00262,Thompson LLC,Retail,Sudan,Europe,6,3300649
C00263,Medina-Walton,Retail,British Virgin Islands,APAC,29,2982775
C00264,Andrews-Vega,Pharma,Serbia,Europe,98,3211473
C00265,Greer Ltd,Auto,Slovenia,Americas,76,4716221
C00266,Edwards Ltd,FMCG,Cyprus,Americas,29,4148849
C00267,Castillo Group,Auto,Svalbard & Jan Mayen Islands,Europe,33,3593247
C00268,Hanson Inc,Electronics,Faroe Islands,Americas,33,3407438
C00269,Wilson and Sons,Auto,Papua New Guinea,Europe,14,2754896
C00270,"Clark, Lee and Rodriguez",Pharma,Guinea,Americas,53,2933443
C00271,Sparks-Coleman,Electronics,New Zealand,Americas,19,1779947
C00272,"Walsh, Browning and Jones",Auto,Equatorial Guinea,Europe,93,4922967
C00273,Ruiz Ltd,FMCG,Mauritius,MEA,25,4025655
C00274,Barber-Luna,Electronics,Seychelles,Americas,15,342800
C00275,Moore-Turner,Retail,Maldives,Americas,97,4432504
C00276,Wilkins Ltd,Auto,Nauru,MEA,48,4569038
C00277,Smith PLC,FMCG,Faroe Islands,APAC,27,613890
C00278,Hart-Allen,Auto,Indonesia,APAC,20,1652526
C00279,Sutton Ltd,Electronics,Dominican Republic,Americas,53,3937389
C00280,"Vargas, Everett and Miller",Pharma,Denmark,Europe,33,2836203
C00281,"Ewing, Lawrence and Reyes",Auto,Central African Republic,Europe,97,4719035
C00282,Gomez LLC,Pharma,Dominican Republic,APAC,25,1338293
C00283,"Mcdowell, Vasquez and Merritt",Pharma,Malta,APAC,55,2379579
C00284,Anderson Ltd,Pharma,Syrian Arab Republic,APAC,88,2130252
C00285,Odonnell-Rivers,Retail,Isle of Man,APAC,97,2289460
C00286,Williams Ltd,Retail,New Zealand,Europe,37,2306993
C00287,"Martin, Solis and Johnson",Retail,Angola,Europe,95,2721502
C00288,"Sanders, Rodriguez and Guzman",FMCG,Tajikistan,APAC,92,3076890
C00289,Green Group,Pharma,United Arab Emirates,Americas,36,1706161
C00290,Owens-Kelley,Retail,Bangladesh,MEA,77,3778343
C00291,Allen LLC,Pharma,Palau,MEA,46,4708961
C00292,"Johnson, Yates and Aguilar",Auto,Guam,APAC,36,3571552
C00293,Suarez Ltd,FMCG,United Kingdom,APAC,41,3733563
C00294,"Bates, Stout and Barrett",FMCG,Barbados,Europe,40,1979028
C00295,Summers-Johnson,Pharma,Italy,MEA,77,1774080
C00296,"Washington, Cervantes and Sandoval",Retail,Faroe Islands,Americas,8,1493202
C00297,Proctor-Williams,Pharma,Benin,Europe,93,3923732
C00298,"Fox, Sanders and Hudson",FMCG,Greenland,MEA,55,463476
C00299,"Carpenter, Campbell and Alvarado",Electronics,Belize,Europe,4,4832487
C00300,Holloway-Holt,Electronics,Vanuatu,Europe,46,3824581
C00301,"Miller, Poole and Baker",Auto,Greece,Americas,8,4442953
C00302,Cannon PLC,Electronics,Serbia,APAC,63,3986713
C00303,Sampson Group,Auto,Bolivia,APAC,29,2679191
C00304,Smith-Clarke,FMCG,Cape Verde,Americas,23,1627173
C00305,"Harrington, Jones and Cabrera",FMCG,Kiribati,Europe,63,2095591
C00306,"Tanner, Young and Rodriguez",Auto,Mexico,Americas,6,325716
C00307,Shelton-Thomas,Electronics,Burkina Faso,Europe,91,2972956
C00308,"Ramirez, Hall and Mendoza",FMCG,South Georgia and the South Sandwich Islands,APAC,82,4541301
C00309,"Vargas, Harris and Carter",FMCG,Honduras,Americas,41,3585426
C00310,Eaton and Sons,Retail,Fiji,APAC,60,4072844
C00311,Williams LLC,Auto,Italy,Europe,3,4861063
C00312,"Parker, Walters and Lutz",FMCG,Martinique,APAC,75,1873320
C00313,Smith Inc,Electronics,Tokelau,Americas,38,2624803
C00314,Fields-Valentine,Auto,China,APAC,63,3604620
C00315,"Woods, Frost and Travis",Pharma,Slovakia (Slovak Republic),Americas,87,1874983
C00316,Buchanan PLC,Auto,Congo,Europe,43,3459976
C00317,Maldonado and Sons,Retail,Mauritius,Europe,42,218357
C00318,Parker PLC,Pharma,Congo,Europe,11,3564065
C00319,"Rodriguez, Wong and Mcdaniel",Retail,Grenada,MEA,86,1911215
C00320,"Richards, Willis and King",Pharma,Costa Rica,MEA,15,1485357
C00321,"Jensen, Small and Paul",FMCG,Trinidad and Tobago,APAC,2,2372121
C00322,"Wallace, Mullins and Richardson",Pharma,Solomon Islands,MEA,67,723804
C00323,"Hall, Hernandez and Weeks",Electronics,Korea,APAC,61,2808177
C00324,Kaufman PLC,FMCG,Saint Helena,Americas,51,1052355
C00325,"Lawson, Garza and Torres",Retail,Latvia,APAC,26,4845003
C00326,"Brown, Cook and Brewer",Electronics,Latvia,MEA,56,4857573
C00327,Nelson Ltd,FMCG,Armenia,Americas,65,2406390
C00328,"Gallegos, Wells and Walker",Auto,British Indian Ocean Territory (Chagos Archipelago),Europe,58,640668
C00329,"Perez, Sanchez and Hall",Auto,Libyan Arab Jamahiriya,Americas,71,3505677
C00330,Edwards and Sons,Retail,San Marino,Europe,10,287686
C00331,Bond Ltd,FMCG,Cuba,Americas,55,148622
C00332,Bush Ltd,Auto,Zambia,MEA,25,96242
C00333,Smith PLC,Pharma,Faroe Islands,APAC,56,4643125
C00334,Brown Ltd,Auto,Tunisia,APAC,21,1966912
C00335,Reed-Garrett,Electronics,Sri Lanka,MEA,52,4119966
C00336,Sanchez Ltd,Electronics,Chile,MEA,41,1114419
C00337,"Greene, Lopez and Scott",Retail,Eritrea,Europe,29,3226849
C00338,Parker Inc,Electronics,Timor-Leste,Americas,15,4572976
C00339,Hoover-Graham,FMCG,Venezuela,APAC,7,4126521
C00340,Anderson LLC,Auto,Poland,APAC,19,4926417
C00341,Kelly-Miller,Retail,Central African Republic,MEA,67,3673245
C00342,Haas PLC,Auto,Holy See (Vatican City State),MEA,99,2873148
C00343,"Hoffman, Barnes and Gibson",Auto,Holy See (Vatican City State),Americas,91,4666694
C00344,"Chang, Baker and Riggs",Pharma,Marshall Islands,Americas,93,2017312
C00345,Dixon-Cortez,Electronics,Netherlands,Americas,46,4958002
C00346,Hill PLC,Auto,Saint Kitts and Nevis,Europe,95,4209892
C00347,Reyes-Hinton,FMCG,Brunei Darussalam,Americas,26,3610103
C00348,Nichols Group,Pharma,Norfolk Island,MEA,64,2743789
C00349,Bennett-Young,Auto,Svalbard & Jan Mayen Islands,Europe,35,1929694
C00350,Allen and Sons,Auto,Saint Lucia,MEA,46,2259631
C00351,"Cortez, Warner and Waters",Auto,Netherlands,APAC,12,4902754
C00352,Crane-Johnson,Electronics,Guatemala,MEA,64,477468
C00353,"Sanders, Martinez and Francis",Electronics,Puerto Rico,Americas,35,517663
C00354,"Collins, Scott and Werner",Retail,Bahamas,MEA,44,353895
C00355,Hull Inc,FMCG,Cook Islands,MEA,84,3267819
C00356,Webb-Jarvis,Pharma,Pakistan,Europe,54,2048207
C00357,Marks-Miller,Electronics,Azerbaijan,MEA,79,1914662
C00358,"Davis, Christensen and Lopez",Electronics,Croatia,MEA,33,329061
C00359,Boone and Sons,Electronics,Austria,MEA,91,3720496
C00360,Jacobson PLC,Electronics,Taiwan,MEA,56,1292444
C00361,Miranda Inc,FMCG,United States Virgin Islands,MEA,78,3213243
C00362,Morse-Faulkner,Auto,Peru,Europe,99,2097064
C00363,Butler and Sons,Auto,Mongolia,MEA,64,4053540
C00364,Chen Inc,Electronics,Saint Lucia,Americas,61,177527
C00365,Williams LLC,Retail,Cayman Islands,APAC,21,4301088
C00366,Allen PLC,FMCG,Pitcairn Islands,Americas,13,50975
C00367,Doyle Inc,Pharma,Benin,MEA,19,3314341
C00368,Patel Ltd,Retail,Mayotte,Europe,96,1303864
C00369,Mendoza and Sons,FMCG,Ethiopia,Europe,69,3333129
C00370,"Anderson, Fields and Young",Retail,Cocos (Keeling) Islands,Europe,66,2224769
C00371,"Burch, Doyle and White",Auto,Singapore,Americas,75,3222363
C00372,"Love, Robbins and Kaufman",Electronics,Tajikistan,MEA,58,1806992
C00373,Brown-Mcdaniel,Retail,Thailand,APAC,17,4102090
C00374,Wells Group,Electronics,Japan,MEA,90,1167719
C00375,Long-Pope,FMCG,Marshall Islands,Europe,62,100005
C00376,Johnson-Flores,Retail,Martinique,APAC,41,2911174
C00377,Adams-Hamilton,Auto,South Georgia and the South Sandwich Islands,APAC,25,1383970
C00378,"Gross, Padilla and Peters",Pharma,French Polynesia,Americas,81,1908187
C00379,Glass Group,Retail,Netherlands,APAC,96,988283
C00380,Greer Group,FMCG,United Arab Emirates,MEA,33,478219
C00381,Kemp Ltd,Electronics,Austria,Europe,54,1209605
C00382,Bates-Chavez,FMCG,Bouvet Island (Bouvetoya),APAC,98,3962019
C00383,Drake-Malone,Retail,Cambodia,APAC,26,3670075
C00384,Rogers Group,Pharma,Saint Helena,Europe,40,4696710
C00385,May and Sons,FMCG,Tanzania,Americas,76,4324680
C00386,Thornton-Fitzpatrick,Pharma,Uruguay,Americas,37,3970037
C00387,"Shah, Howard and Walker",Electronics,Wallis and Futuna,Americas,41,185507
C00388,Collins-Robinson,Electronics,New Caledonia,Americas,92,1931409
C00389,Cortez and Sons,Pharma,Montenegro,Europe,88,967264
