payment_id,invoice_id,payment_date,payment_amount,payment_method,payment_status
P000124,INV00124,2026-04-13,43195.92,Bank Transfer,Full
P000125,INV00125,2026-05-27,37113.87,Bank Transfer,Partial
P000126,INV00126,2025-01-14,52558.99,Bank Transfer,Full
P000127,INV00127,2026-04-24,12320.42,Wire,Full
P000128,INV00128,2026-06-19,8324.61,Credit Card,Partial
P000129,INV00129,2025-12-06,4951.78,Credit Card,Partial
P000130,INV00130,2025-01-20,25532.8,Credit Card,Partial
P000131,INV00131,2025-03-06,49199.56,Credit Card,Partial
P000132,INV00132,2024-11-13,22634.93,Credit Card,Full
P000133,INV00133,2025-09-15,51155.3,Credit Card,Full
P000134,INV00134,2025-07-23,14706.67,Credit Card,Full
P000135,INV00135,2025-02-23,22392.14,Wire,Full
P000136,INV00136,2024-07-13,47418.46,Credit Card,Full
P000137,INV00137,2026-05-19,30658.92,Credit Card,Full
P000138,INV00138,2025-09-20,55122.45,Credit Card,Full
P000139,INV00139,2025-09-06,48473.25,Credit Card,Full
P000140,INV00140,2024-11-12,24143.28,Bank Transfer,Full
P000141,INV00141,2026-02-08,35019.17,Wire,Full
P000142,INV00142,2024-12-29,19572.68,Bank Transfer,Full
P000143,INV00143,2024-10-02,49744.93,Credit Card,Full
P000144,INV00144,2024-06-28,26309.33,Bank Transfer,Full
P000145,INV00145,2025-02-28,13592.18,Wire,Partial
P000146,INV00146,2026-03-10,0.0,Credit Card,Failed
P000147,INV00147,2026-04-18,0.0,Wire,Failed
P000148,INV00148,2025-07-14,0.0,Bank Transfer,Failed
P000149,INV00149,2026-01-26,7264.54,Credit Card,Partial
P000150,INV00150,2024-08-03,15677.82,Bank Transfer,Partial
P000151,INV00151,2024-10-24,56969.67,Bank Transfer,Full
P000152,INV00152,2024-10-12,10679.76,Wire,Full
P000153,INV00153,2026-07-11,51164.86,Wire,Full
P000154,INV00154,2025-04-22,4116.01,Wire,Partial
P000155,INV00155,2025-07-29,21930.18,Bank Transfer,Full
P000156,INV00156,2025-12-12,48783.299999999996,Wire,Full
P000157,INV00157,2026-07-03,9140.7,Bank Transfer,Full
P000158,INV00158,2024-11-02,18110.1,Wire,Full
P000159,INV00159,2025-02-19,37134.83,Bank Transfer,Partial
P000160,INV00160,2026-03-09,6872.77,Credit Card,Partial
P000161,INV00161,2024-07-24,8685.22,Bank Transfer,Full
P000162,INV00162,2024-07-26,8663.69,Credit Card,Partial
P000163,INV00163,2024-09-27,35578.23,Wire,Full
P000164,INV00164,2025-11-04,53741.89,Wire,Full
P000165,INV00165,2025-04-13,0.0,Credit Card,Failed
P000166,INV00166,2026-01-13,24047.48,Wire,Full
P000167,INV00167,2024-11-17,32369.66,Credit Card,Full
P000168,INV00168,2026-03-28,0.0,Bank Transfer,Failed
P000169,INV00169,2025-04-29,48199.71,Wire,Full
P000170,INV00170,2025-10-31,27180.31,Bank Transfer,Full
P000171,INV00171,2025-03-06,25493.84,Credit Card,Full
P000172,INV00172,2025-12-10,56292.96,Bank Transfer,Full
P000173,INV00173,2026-04-26,14058.02,Bank Transfer,Full
P000174,INV00174,2026-06-19,39251.65,Wire,Full
P000175,INV00175,2024-08-04,0.0,Bank Transfer,Failed
P000176,INV00176,2025-03-23,34471.619999999995,Bank Transfer,Full
P000177,INV00177,2025-06-27,17466.91,Credit Card,Full
P000178,INV00178,2025-12-23,10031.26,Bank Transfer,Partial
P000179,INV00179,2025-10-11,24635.75,Wire,Full
P000180,INV00180,2024-08-23,27814.93,Credit Card,Partial
P000181,INV00181,2025-08-31,22855.04,Bank Transfer,Full
P000182,INV00182,2025-10-20,16368.91,Wire,Full
P000183,INV00183,2024-09-20,41137.649999999994,Wire,Full
P000184,INV00184,2026-06-11,12956.81,Wire,Full
P000185,INV00185,2026-06-01,40679.0,Wire,Full
P000186,INV00186,2025-09-24,36106.75,Bank Transfer,Partial
P000187,INV00187,2026-02-27,20711.12,Credit Card,Partial
P000188,INV00188,2024-11-11,43242.14,Bank Transfer,Full
P000189,INV00189,2026-06-17,40456.2,Bank Transfer,Full
P000190,INV00190,2025-01-06,18359.72,Wire,Full
P000191,INV00191,2025-01-08,18161.0,Bank Transfer,Partial
P000192,INV00192,2025-01-05,14327.15,Bank Transfer,Partial
P000193,INV00193,2025-05-18,9588.65,Credit Card,Partial
P000194,INV00194,2025-10-26,42815.67,Wire,Full
P000195,INV00195,2024-08-30,17053.510000000002,Wire,Full
P000196,INV00196,2024-11-19,58052.96,Wire,Full
P000197,INV00197,2025-05-19,0.0,Wire,Failed
P000198,INV00198,2026-02-08,20900.96,Bank Transfer,Full
P000199,INV00199,2025-11-16,5449.67,Credit Card,Full
P000200,INV00200,2026-03-12,30865.82,Credit Card,Full
P000201,INV00201,2025-07-14,0.0,Wire,Failed
P000202,INV00202,2025-08-26,47169.71,Wire,Full
P000203,INV00203,2024-12-15,48947.329999999994,Credit Card,Full
P000204,INV00204,2024-10-10,43953.9,Wire,Full
P000205,INV00205,2025-12-28,33868.11,Bank Transfer,Full
P000206,INV00206,2025-04-24,0.0,Bank Transfer,Failed
P000207,INV00207,2025-08-15,10120.61,Bank Transfer,Partial
P000208,INV00208,2025-11-24,31609.469999999998,Credit Card,Full
P000209,INV00209,2025-04-30,39395.07,Wire,Partial
P000210,INV00210,2024-12-28,38057.72,Credit Card,Full
P000211,INV00211,2024-09-25,29491.309999999998,Bank Transfer,Full
P000212,INV00212,2025-10-20,10980.22,Bank Transfer,Full
P000213,INV00213,2026-03-22,23855.300000000003,Bank Transfer,Full
P000214,INV00214,2026-06-23,0.0,Wire,Failed
P000215,INV00215,2024-11-03,18244.45,Bank Transfer,Partial
P000216,INV00216,2024-09-30,55603.88,Credit Card,Full
P000217,INV00217,2025-03-17,21848.62,Bank Transfer,Partial
P000218,INV00218,2025-07-23,30986.4,Bank Transfer,Full
P000219,INV00219,2025-05-22,18779.48,Wire,Full
P000220,INV00220,2025-03-19,20828.63,Credit Card,Full
P000221,INV00221,2025-02-03,30576.54,Credit Card,Partial
P000222,INV00222,2025-07-09,52790.93,Bank Transfer,Full
P000223,INV00223,2024-10-19,28949.16,Credit Card,Full
P000224,INV00224,2026-05-10,52263.57,Credit Card,Full
P000225,INV00225,2025-08-09,47914.08,Bank Transfer,Full
P000226,INV00226,2025-11-22,40250.93,Wire,Full
P000227,INV00227,2024-12-02,4301.94,Wire,Partial
P000228,INV00228,2025-06-11,56042.25,Wire,Full
P000229,INV00229,2025-09-25,29466.6,Wire,Partial
P000230,INV00230,2024-12-13,33983.31,Bank Transfer,Full
P000231,INV00231,2025-04-06,8453.91,Credit Card,Partial
P000232,INV00232,2025-09-18,22217.1,Wire,Partial
P000233,INV00233,2025-02-20,23274.170000000002,Credit Card,Full
P000234,INV00234,2024-11-18,52320.62,Bank Transfer,Full
P000235,INV00235,2026-01-17,33705.78,Bank Transfer,Full
P000236,INV00236,2025-06-27,14132.61,Wire,Partial
P000237,INV00237,2025-03-22,30801.399999999998,Wire,Full
P000238,INV00238,2026-06-03,12538.08,Bank Transfer,Full
P000239,INV00239,2025-04-12,28232.260000000002,Wire,Full
P000240,INV00240,2024-07-04,22081.43,Bank Transfer,Full
P000241,INV00241,2025-12-14,10263.79,Bank Transfer,Full
P000242,INV00242,2025-12-16,15145.36,Wire,Partial
P000243,INV00243,2025-01-12,17396.96,Wire,Full
P000244,INV00244,2025-02-16,28537.31,Wire,Partial
P000245,INV00245,2025-03-14,0.0,Credit Card,Failed
P000246,INV00246,2025-01-17,32811.83,Credit Card,Full
P000247,INV00247,2026-03-24,7948.17,Wire,Full
P000248,INV00248,2024-09-04,49991.479999999996,Wire,Full
P000249,INV00249,2026-05-23,33822.2,Bank Transfer,Full
P000250,INV00250,2025-08-03,46825.36,Bank Transfer,Full
P000251,INV00251,2026-04-13,55190.17,Bank Transfer,Full
P000252,INV00252,2024-12-30,20920.73,Credit Card,Full
P000253,INV00253,2025-03-15,28223.68,Bank Transfer,Full
P000254,INV00254,2024-12-28,7486.13,Credit Card,Full
P000255,INV00255,2025-09-27,22095.45,Wire,Full
P000256,INV00256,2026-04-08,38959.009999999995,Bank Transfer,Full
P000257,INV00257,2025-01-18,38271.87,Credit Card,Full
P000258,INV00258,2026-01-08,52233.04,Bank Transfer,Full
P000259,INV00259,2025-07-12,28322.88,Wire,Partial
P000260,INV00260,2025-05-01,17051.35,Bank Transfer,Full
P000261,INV00261,2024-08-27,22327.42,Wire,Partial
P000262,INV00262,2024-09-11,27382.57,Credit Card,Partial
P000263,INV00263,2025-05-15,20138.48,Credit Card,Partial
P000264,INV00264,2026-03-27,27469.61,Wire,Full
P000265,INV00265,2025-06-28,17220.44,Credit Card,Partial
P000266,INV00266,2025-01-21,21502.07,Bank Transfer,Full
P000267,INV00267,2025-10-22,23459.559999999998,Wire,Full
P000268,INV00268,2025-05-06,17289.579999999998,Wire,Full
P000269,INV00269,2026-05-31,50286.54,Credit Card,Full
P000270,INV00270,2024-11-11,24697.03,Wire,Full
P000271,INV00271,2025-07-22,16326.91,Credit Card,Full
P000272,INV00272,2025-09-30,15096.62,Bank Transfer,Partial
P000273,INV00273,2025-02-23,17297.72,Wire,Full
P000274,INV00274,2026-05-20,56297.31,Credit Card,Full
P000275,INV00275,2026-01-04,28088.550000000003,Bank Transfer,Full
P000276,INV00276,2025-06-30,18765.14,Bank Transfer,Partial
P000277,INV00277,2024-06-30,15820.26,Credit Card,Full
P000278,INV00278,2025-07-21,37000.83,Credit Card,Full
P000279,INV00279,2026-01-21,52835.18,Bank Transfer,Partial
P000280,INV00280,2025-08-06,12121.24,Wire,Full
P000281,INV00281,2025-04-08,43557.37,Credit Card,Full
P000282,INV00282,2024-11-29,46369.85,Credit Card,Full
P000283,INV00283,2025-08-11,38682.32,Wire,Full
P000284,INV00284,2026-04-25,0.0,Wire,Failed
P000285,INV00285,2024-12-26,21620.47,Wire,Full
P000286,INV00286,2025-09-06,14692.72,Bank Transfer,Full
P000287,INV00287,2025-02-18,50451.2,Credit Card,Full
P000288,INV00288,2024-08-01,17374.760000000002,Bank Transfer,Full
P000289,INV00289,2024-10-21,0.0,Credit Card,Failed
P000290,INV00290,2024-09-28,33457.93,Bank Transfer,Full
P000291,INV00291,2025-11-21,0.0,Bank Transfer,Failed
P000292,INV00292,2025-04-07,24420.06,Bank Transfer,Partial
P000293,INV00293,2026-04-12,47622.29,Credit Card,Full
P000294,INV00294,2026-05-31,53543.71,Wire,Full
P000295,INV00295,2024-12-25,51147.850000000006,Wire,Full
P000296,INV00296,2026-03-28,4627.16,Bank Transfer,Partial
P000297,INV00297,2024-09-01,39380.54,Wire,Full
P000298,INV00298,2024-11-16,27578.9,Bank Transfer,Full
P000299,INV00299,2025-11-27,36366.5,Credit Card,Full
P000300,INV00300,2025-09-27,44398.81,Credit Card,Full
P000301,INV00301,2024-06-20,17107.95,Bank Transfer,Full
P000302,INV00302,2026-03-26,23661.62,Credit Card,Partial
P000303,INV00303,2025-07-07,0.0,Credit Card,Failed
P000304,INV00304,2024-08-06,37277.42,Bank Transfer,Full
P000305,INV00305,2025-05-08,22496.38,Wire,Partial
P000306,INV00306,2024-10-24,33712.21,Bank Transfer,Full
P000307,INV00307,2024-07-07,27771.920000000002,Wire,Full
P000308,INV00308,2026-05-07,38574.450000000004,Credit Card,Full
P000309,INV00309,2024-09-04,19959.84,Bank Transfer,Full
P000310,INV00310,2026-06-01,37143.72,Credit Card,Full
P000311,INV00311,2025-01-16,0.0,Bank Transfer,Failed
P000312,INV00312,2024-08-11,0.0,Credit Card,Failed
P000313,INV00313,2025-01-15,38233.74,Wire,Full
P000314,INV00314,2025-07-22,0.0,Credit Card,Failed
P000315,INV00315,2024-07-14,50293.93000000001,Bank Transfer,Full
P000316,INV00316,2025-04-29,11501.89,Credit Card,Partial
P000317,INV00317,2024-08-06,26710.27,Wire,Partial
P000318,INV00318,2025-02-27,0.0,Credit Card,Failed
P000319,INV00319,2024-12-14,15247.44,Bank Transfer,Partial
P000320,INV00320,2024-10-24,39513.71,Bank Transfer,Full
P000321,INV00321,2026-05-07,23826.77,Bank Transfer,Full
P000322,INV00322,2024-08-25,44780.46000000001,Bank Transfer,Full
P000323,INV00323,2025-06-10,49173.520000000004,Wire,Full
P000324,INV00324,2025-11-01,26157.47,Credit Card,Partial
P000325,INV00325,2024-10-18,3523.78,Credit Card,Partial
P000326,INV00326,2026-05-11,17630.309999999998,Bank Transfer,Full
P000327,INV00327,2025-05-07,32503.47,Bank Transfer,Full
P000328,INV00328,2026-01-26,14703.929999999998,Bank Transfer,Full
P000329,INV00329,2024-10-21,53179.17,Wire,Full
P000330,INV00330,2024-12-06,0.0,Bank Transfer,Failed
P000331,INV00331,2026-06-08,45482.36,Wire,Full
P000332,INV00332,2025-02-20,44448.119999999995,Bank Transfer,Full
P000333,INV00333,2026-06-03,7731.44,Credit Card,Partial
P000334,INV00334,2025-10-20,44052.2,Wire,Full
P000335,INV00335,2026-02-06,0.0,Wire,Failed
P000336,INV00336,2025-01-03,35019.16,Credit Card,Full
P000337,INV00337,2026-05-25,48424.48,Bank Transfer,Full
P000338,INV00338,2024-08-27,14125.369999999999,Bank Transfer,Full
P000339,INV00339,2026-05-23,49592.630000000005,Credit Card,Full
P000340,INV00340,2026-06-27,28078.64,Credit Card,Full
P000341,INV00341,2024-11-08,36210.01,Credit Card,Full
P000342,INV00342,2024-09-21,36215.77,Wire,Full
P000343,INV00343,2025-03-21,24668.8,Credit Card,Full
P000344,INV00344,2025-04-20,45987.19,Bank Transfer,Full
P000345,INV00345,2025-05-22,30109.84,Bank Transfer,Full
P000346,INV00346,2024-08-16,37871.969999999994,Wire,Full
P000347,INV00347,2025-01-22,12749.9,Credit Card,Partial
P000348,INV00348,2025-08-28,27097.21,Bank Transfer,Partial
P000349,INV00349,2025-09-21,30874.82,Credit Card,Full
P000350,INV00350,2026-05-04,0.0,Credit Card,Failed
P000351,INV00351,2025-09-28,56784.33,Bank Transfer,Full
P000352,INV00352,2026-02-11,8454.0,Wire,Partial
P000353,INV00353,2025-10-25,56518.36,Bank Transfer,Full
P000354,INV00354,2026-03-13,12368.42,Bank Transfer,Full
P000355,INV00355,2025-05-03,5049.23,Credit Card,Partial
P000356,INV00356,2024-11-24,37548.009999999995,Credit Card,Full
P000357,INV00357,2025-10-04,20377.09,Wire,Full
P000358,INV00358,2024-10-18,54215.95,Wire,Full
P000359,INV00359,2025-03-08,53487.5,Wire,Full
P000360,INV00360,2025-09-15,48437.13,Bank Transfer,Full
P000361,INV00361,2024-08-10,29023.14,Credit Card,Partial
P000362,INV00362,2025-07-02,10084.34,Credit Card,Full
P000363,INV00363,2024-12-10,28160.55,Credit Card,Partial
P000364,INV00364,2025-09-10,19818.8,Wire,Partial
P000365,INV00365,2026-01-09,0.0,Wire,Failed
P000366,INV00366,2026-04-07,17151.02,Credit Card,Partial
P000367,INV00367,2024-08-11,0.0,Credit Card,Failed
P000368,INV00368,2024-10-11,56782.7,Bank Transfer,Full
P000369,INV00369,2024-07-12,37785.42,Wire,Full
P000370,INV00370,2025-07-19,17079.11,Credit Card,Full
P000371,INV00371,2025-12-04,51213.14,Wire,Full
P000372,INV00372,2025-01-02,46281.55,Credit Card,Full
P000373,INV00373,2025-11-10,14400.650000000001,Credit Card,Full
P000374,INV00374,2025-05-31,0.0,Credit Card,Failed
P000375,INV00375,2025-06-09,27815.55,Wire,Full
P000376,INV00376,2024-09-21,52106.34,Bank Transfer,Full
P000377,INV00377,2026-05-23,0.0,Wire,Failed
P000378,INV00378,2024-12-28,34856.17,Wire,Full
P000379,INV00379,2024-11-30,36107.399999999994,Bank Transfer,Full
P000380,INV00380,2026-05-29,57978.31,Bank Transfer,Full
P000381,INV00381,2026-02-15,32752.61,Bank Transfer,Full
P000382,INV00382,2026-02-23,47869.11,Bank Transfer,Full
P000383,INV00383,2025-06-24,9672.16,Credit Card,Partial
P000384,INV00384,2025-07-13,2604.96,Credit Card,Partial
P000385,INV00385,2025-05-12,56024.29,Bank Transfer,Full
P000386,INV00386,2024-07-15,22334.18,Bank Transfer,Full
P000387,INV00387,2026-03-31,41987.77,Wire,Full
P000388,INV00388,2024-09-12,21658.28,Wire,Full
P000389,INV00389,2025-05-27,20004.39,Credit Card,Full
P000390,INV00390,2026-05-08,51344.65,Wire,Full
P000391,INV00391,2025-02-21,27997.27,Wire,Full
P000392,INV00392,2025-01-25,36761.58,Credit Card,Full
P000393,INV00393,2025-08-12,11650.23,Bank Transfer,Full
P000394,INV00394,2025-04-19,28271.82,Credit Card,Full
P000395,INV00395,2025-02-16,50923.0,Bank Transfer,Full
P000396,INV00396,2025-05-04,51535.4,Wire,Full
P000397,INV00397,2025-03-13,0.0,Credit Card,Failed
P000398,INV00398,2024-09-18,35384.21,Wire,Full
P000399,INV00399,2025-02-21,23911.54,Wire,Full
P000400,INV00400,2024-07-09,8545.5,Credit Card,Full
P000401,INV00401,2026-06-16,0.0,Credit Card,Failed
P000402,INV00402,2026-05-20,19077.1,Bank Transfer,Full
P000403,INV00403,2025-02-04,20694.629999999997,Bank Transfer,Full
P000404,INV00404,2024-11-07,33556.88,Wire,Full
P000405,INV00405,2024-08-16,52273.54,Wire,Full
P000406,INV00406,2026-06-30,10355.23,Credit Card,Full
P000407,INV00407,2025-05-01,23961.6,Bank Transfer,Partial
P000408,INV00408,2025-01-18,29131.25,Wire,Full
P000409,INV00409,2025-04-04,18706.97,Bank Transfer,Partial
P000410,INV00410,2025-10-15,18003.8,Bank Transfer,Partial
P000411,INV00411,2025-10-06,35761.810000000005,Wire,Full
P000412,INV00412,2024-10-13,29170.86,Bank Transfer,Full
P000413,INV00413,2026-01-28,36293.96,Credit Card,Full
P000414,INV00414,2024-11-17,59846.95,Credit Card,Full
P000415,INV00415,2025-05-05,12692.73,Credit Card,Full
P000416,INV00416,2025-07-02,23588.129999999997,Wire,Full
P000417,INV00417,2025-07-22,32844.32,Credit Card,Partial
P000418,INV00418,2024-10-14,14567.11,Bank Transfer,Full
P000419,INV00419,2025-12-20,49494.170000000006,Bank Transfer,Full
P000420,INV00420,2024-07-05,21948.42,Bank Transfer,Full
P000421,INV00421,2025-11-18,29954.34,Wire,Partial
P000422,INV00422,2025-09-01,0.0,Bank Transfer,Failed
P000423,INV00423,2025-07-05,54836.5,Credit Card,Full
P000424,INV00424,2026-01-24,17874.56,Bank Transfer,Full
P000425,INV00425,2024-10-15,21038.47,Wire,Full
P000426,INV00426,2025-09-06,5554.86,Bank Transfer,Partial
P000427,INV00427,2026-05-24,24252.59,Bank Transfer,Full
P000428,INV00428,2025-12-09,39747.770000000004,Credit Card,Full
P000429,INV00429,2024-06-21,20979.660000000003,Credit Card,Full
P000430,INV00430,2024-10-02,5760.89,Wire,Partial
P000431,INV00431,2025-01-04,31924.87,Bank Transfer,Full
P000432,INV00432,2026-02-22,25065.87,Wire,Full
P000433,INV00433,2026-02-09,18379.11,Bank Transfer,Full
P000434,INV00434,2025-11-15,30215.670000000002,Credit Card,Full
P000435,INV00435,2026-05-22,35700.05,Wire,Full
P000436,INV00436,2026-03-04,43816.38,Bank Transfer,Partial
P000437,INV00437,2024-09-02,24041.77,Wire,Full
P000438,INV00438,2024-12-20,0.0,Bank Transfer,Failed
P000439,INV00439,2024-10-03,12277.33,Bank Transfer,Full
P000440,INV00440,2025-03-23,28531.53,Wire,Full
P000441,INV00441,2024-08-13,45376.43,Bank Transfer,Full
P000442,INV00442,2024-08-17,34236.04,Wire,Full
P000443,INV00443,2025-12-18,35888.89,Wire,Full
P000444,INV00444,2025-02-22,16888.92,Wire,Full
P000445,INV00445,2025-10-18,49766.590000000004,Bank Transfer,Full
P000446,INV00446,2026-03-29,22607.149999999998,Bank Transfer,Full
P000447,INV00447,2025-06-11,48240.58,Wire,Full
P000448,INV00448,2025-03-17,17088.89,Bank Transfer,Full
P000449,INV00449,2026-04-02,0.0,Wire,Failed
P000450,INV00450,2025-06-09,12381.289999999999,Bank Transfer,Full
P000451,INV00451,2025-03-03,0.0,Credit Card,Failed
P000452,INV00452,2025-11-15,39788.56,Credit Card,Full
P000453,INV00453,2024-10-27,58566.12,Credit Card,Full
