invoice_id,shipment_id,customer_id,invoice_date,invoice_amount,tax_amount,payment_due_date,invoice_status
INV00033,S040081,C00918,2024-07-03,39399.98,7091.9964,2024-07-03,Overdue
INV00034,S034332,C00816,2025-02-28,42479.73,7646.3514000000005,2025-02-28,Disputed
INV00035,S065021,C00062,2025-10-14,12143.939999999999,2185.9091999999996,2025-10-14,Overdue
INV00036,S085839,C00954,2024-08-23,23680.440000000002,4262.479200000001,2024-08-23,Paid
INV00037,S074935,C00219,2025-05-16,26691.21,4804.417799999999,2025-05-16,Disputed
INV00038,S064108,C00417,2025-05-27,25317.8,4557.204,2025-05-27,Pending
INV00039,S061015,C00761,2026-04-08,51489.26,9268.0668,2026-04-08,Disputed
INV00040,S053373,C00490,2025-08-29,25997.3,4679.514,2025-08-29,Paid
INV00041,S057660,C00306,2025-10-04,16861.45,3035.061,2025-10-04,Disputed
INV00042,S066504,C00674,2025-09-10,42909.35,7723.682999999999,2025-09-10,Paid
INV00043,S094349,C00777,2025-01-01,27273.45,4909.221,2025-01-01,Disputed
INV00044,S004932,C00094,2025-06-03,41053.49,7389.628199999999,2025-06-03,Pending
INV00045,S089402,C00814,2025-05-17,36467.67,6564.1806,2025-05-17,Paid
INV00046,S008516,C00508,2025-11-30,24545.1,4418.1179999999995,2025-11-30,Overdue
INV00047,S054645,C00024,2025-06-28,35718.26,6429.2868,2025-06-28,Disputed
INV00048,S049818,C00293,2024-09-21,19502.41,3510.4338,2024-09-21,Disputed
INV00049,S049250,C00868,2025-11-27,33317.01,5997.0618,2025-11-27,Paid
INV00050,S075049,C00329,2025-06-27,36728.42,6611.115599999999,2025-06-27,Disputed
INV00051,S000183,C00711,2025-07-05,14871.27,2676.8286,2025-07-05,Overdue
INV00052,S074304,C00997,2026-05-08,21242.91,3823.7237999999998,2026-05-08,Disputed
INV00053,S093393,C00047,2025-07-09,23398.0,4211.639999999999,2025-07-09,Pending
INV00054,S084536,C00376,2025-10-29,12473.26,2245.1868,2025-10-29,Paid
INV00055,S061906,C00592,2025-07-22,46503.79,8370.6822,2025-07-22,Pending
INV00056,S054427,C00238,2025-11-22,34508.39,6211.5102,2025-11-22,Overdue
INV00057,S045797,C00273,2025-03-01,26493.04,4768.7472,2025-03-01,Disputed
INV00058,S081840,C00425,2024-11-15,34495.31,6209.1557999999995,2024-11-15,Disputed
INV00059,S096867,C00168,2024-09-20,13158.699999999999,2368.566,2024-09-20,Disputed
INV00060,S091426,C00924,2025-12-20,28086.84,5055.6312,2025-12-20,Paid
INV00061,S046890,C00366,2024-11-19,37350.53,6723.095399999999,2024-11-19,Pending
INV00062,S040938,C00831,2024-10-26,19788.059999999998,3561.8507999999993,2024-10-26,Pending
INV00063,S028079,C00280,2024-10-05,45828.509999999995,8249.1318,2024-10-05,Pending
INV00064,S009861,C00740,2024-08-22,29784.93,5361.2874,2024-08-22,Paid
INV00065,S092890,C00129,2026-01-30,54742.73,9853.6914,2026-01-30,Disputed
INV00066,S032574,C00798,2025-11-27,6871.66,1236.8988,2025-11-27,Paid
INV00067,S017826,C00841,2024-12-04,22044.239999999998,3967.9631999999997,2024-12-04,Pending
INV00068,S082164,C00284,2025-12-01,10208.400000000001,1837.5120000000002,2025-12-01,Overdue
INV00069,S067292,C00564,2024-12-31,30467.44,5484.1392,2024-12-31,Pending
INV00070,S010640,C00897,2026-04-04,55905.12,10062.9216,2026-04-04,Disputed
INV00071,S056943,C00312,2026-04-03,41098.75,7397.775,2026-04-03,Pending
INV00072,S034425,C00788,2026-01-02,29917.18,5385.0923999999995,2026-01-02,Overdue
INV00073,S074167,C00375,2025-04-28,58428.25,10517.085,2025-04-28,Disputed
INV00074,S010737,C00175,2026-01-13,34965.850000000006,6293.853000000001,2026-01-13,Pending
INV00075,S013629,C00596,2024-12-18,34951.49,6291.2681999999995,2024-12-18,Overdue
INV00076,S068809,C00899,2025-10-22,16521.87,2973.9365999999995,2025-10-22,Disputed
INV00077,S004694,C00454,2025-05-07,28421.84,5115.9312,2025-05-07,Overdue
INV00078,S089103,C00235,2025-06-30,26813.14,4826.365199999999,2025-06-30,Overdue
INV00079,S065511,C00440,2024-08-06,53890.7,9700.326,2024-08-06,Pending
INV00080,S037134,C00037,2026-03-06,38232.47,6881.8446,2026-03-06,Overdue
INV00081,S029111,C00209,2026-04-23,25983.9,4677.102,2026-04-23,Overdue
INV00082,S078516,C00798,2025-08-15,57034.630000000005,10266.233400000001,2025-08-15,Disputed
INV00083,S008893,C00883,2026-04-15,29300.82,5274.147599999999,2026-04-15,Disputed
INV00084,S011971,C00993,2024-08-12,13905.07,2502.9125999999997,2024-08-12,Paid
INV00085,S098030,C00735,2026-02-22,35986.69,6477.6042,2026-02-22,Pending
INV00086,S098404,C00028,2026-01-19,34230.689999999995,6161.524199999999,2026-01-19,Overdue
INV00087,S039806,C00385,2025-07-28,45626.28,8212.7304,2025-07-28,Pending
INV00088,S040414,C00946,2025-05-23,32207.23,5797.301399999999,2025-05-23,Overdue
INV00089,S083475,C00836,2024-12-03,23748.71,4274.7678,2024-12-03,Overdue
INV00090,S024736,C00296,2025-01-27,16484.64,2967.2351999999996,2025-01-27,Paid
INV00091,S079689,C00843,2025-05-08,27711.42,4988.0556,2025-05-08,Disputed
INV00092,S080959,C00673,2025-03-03,40767.880000000005,7338.218400000001,2025-03-03,Pending
INV00093,S052193,C00541,2026-01-05,21104.03,3798.7254,2026-01-05,Pending
INV00094,S050859,C00479,2025-10-20,61093.86,10996.8948,2025-10-20,Overdue
INV00095,S005811,C00908,2026-05-22,52247.229999999996,9404.5014,2026-05-22,Pending
INV00096,S018428,C00810,2025-05-22,40446.48,7280.3664,2025-05-22,Overdue
INV00097,S010228,C00219,2025-09-27,12325.990000000002,2218.6782000000003,2025-09-27,Overdue
INV00098,S038051,C00618,2024-09-26,20100.9,3618.1620000000003,2024-09-26,Pending
INV00099,S062447,C00391,2025-03-22,40415.81,7274.845799999999,2025-03-22,Disputed
INV00100,S056377,C00385,2025-06-14,14408.390000000001,2593.5102,2025-06-14,Paid
INV00101,S056441,C00400,2025-05-26,36169.04,6510.4272,2025-05-26,Pending
INV00102,S006398,C00446,2025-06-07,41076.39,7393.7501999999995,2025-06-07,Overdue
INV00103,S073706,C00462,2025-07-05,22522.93,4054.1274,2025-07-05,Paid
INV00104,S036841,C00134,2026-02-18,23610.12,4249.821599999999,2026-02-18,Disputed
INV00105,S045604,C00258,2026-01-11,36092.53,6496.6554,2026-01-11,Disputed
INV00106,S056395,C00344,2024-09-28,52293.89,9412.9002,2024-09-28,Overdue
INV00107,S026306,C00252,2024-10-29,34801.07,6264.192599999999,2024-10-29,Paid
INV00108,S099263,C00367,2024-11-24,33392.71000000001,6010.687800000001,2024-11-24,Paid
INV00109,S092523,C00172,2025-02-15,13623.98,2452.3163999999997,2025-02-15,Disputed
INV00110,S081441,C00921,2026-01-13,26958.49,4852.5282,2026-01-13,Paid
INV00111,S043238,C00498,2025-08-18,59491.66,10708.4988,2025-08-18,Paid
INV00112,S083182,C00269,2026-03-26,31976.04,5755.6872,2026-03-26,Pending
INV00113,S023771,C00341,2024-06-15,7034.55,1266.219,2024-06-15,Disputed
INV00114,S026785,C00014,2024-06-04,13437.73,2418.7913999999996,2024-06-04,Pending
INV00115,S090621,C00137,2025-10-31,52909.54,9523.7172,2025-10-31,Disputed
INV00116,S079375,C00524,2026-06-02,13697.98,2465.6364,2026-06-02,Pending
INV00117,S083645,C00264,2026-01-31,47157.68,8488.3824,2026-01-31,Disputed
INV00118,S028248,C00238,2025-06-01,48524.88,8734.4784,2025-06-01,Paid
INV00119,S037202,C00810,2024-07-15,13106.74,2359.2131999999997,2024-07-15,Pending
INV00120,S090477,C00384,2026-05-08,49163.66,8849.4588,2026-05-08,Overdue
INV00121,S032196,C00964,2024-11-28,10471.349999999999,1884.8429999999996,2024-11-28,Paid
INV00122,S087684,C00506,2024-06-17,11432.1,2057.778,2024-06-17,Overdue
INV00123,S039541,C00716,2024-08-17,45006.57,8101.1826,2024-08-17,Paid
INV00124,S013815,C00035,2026-03-24,43195.92,7775.2656,2026-03-24,Disputed
INV00125,S059563,C00920,2026-05-11,51684.079999999994,9303.134399999999,2026-05-11,Paid
INV00126,S010843,C00453,2024-12-14,52558.99,9460.618199999999,2024-12-14,Overdue
INV00127,S078064,C00979,2026-04-09,12320.42,2217.6756,2026-04-09,Overdue
INV00128,S069541,C00379,2026-05-14,22521.980000000003,4053.9564000000005,2026-05-14,Overdue
INV00129,S004650,C00937,2025-11-30,14139.16,2545.0488,2025-11-30,Disputed
INV00130,S056042,C00731,2024-12-20,56307.01,10135.2618,2024-12-20,Disputed
INV00131,S015006,C00737,2025-02-09,59879.44,10778.2992,2025-02-09,Overdue
INV00132,S093696,C00691,2024-10-26,22634.93,4074.2873999999997,2024-10-26,Disputed
INV00133,S063984,C00364,2025-08-18,51155.3,9207.954,2025-08-18,Paid
INV00134,S031961,C00000,2025-06-21,14706.67,2647.2006,2025-06-21,Paid
INV00135,S083324,C00799,2025-02-17,22392.14,4030.5851999999995,2025-02-17,Pending
INV00136,S085887,C00043,2024-07-04,47418.46,8535.3228,2024-07-04,Overdue
INV00137,S048159,C00447,2026-04-06,30658.92,5518.6056,2026-04-06,Overdue
INV00138,S067487,C00451,2025-09-14,55122.45,9922.041,2025-09-14,Disputed
INV00139,S003976,C00710,2025-09-05,48473.25,8725.185,2025-09-05,Pending
INV00140,S032395,C00784,2024-10-06,24143.28,4345.7904,2024-10-06,Overdue
INV00141,S057553,C00354,2026-01-05,35019.17,6303.450599999999,2026-01-05,Pending
INV00142,S071392,C00758,2024-12-09,19572.68,3523.0824,2024-12-09,Paid
INV00143,S098053,C00948,2024-09-24,49744.93,8954.0874,2024-09-24,Pending
INV00144,S095947,C00062,2024-06-04,26309.33,4735.6794,2024-06-04,Overdue
INV00145,S065373,C00196,2025-02-16,22818.83,4107.3894,2025-02-16,Overdue
INV00146,S092746,C00424,2026-02-04,53871.35,9696.842999999999,2026-02-04,Pending
INV00147,S013315,C00131,2026-03-23,19407.66,3493.3788,2026-03-23,Paid
INV00148,S042841,C00186,2025-06-03,20942.28,3769.6103999999996,2025-06-03,Overdue
INV00149,S083230,C00959,2026-01-14,11357.2,2044.296,2026-01-14,Paid
INV00150,S002513,C00451,2024-07-27,40549.65,7298.937,2024-07-27,Overdue
INV00151,S075021,C00380,2024-09-13,56969.67,10254.540599999998,2024-09-13,Pending
INV00152,S054253,C00297,2024-09-19,10679.76,1922.3568,2024-09-19,Pending
INV00153,S036345,C00736,2026-05-29,51164.86,9209.674799999999,2026-05-29,Disputed
INV00154,S094471,C00316,2025-04-03,9816.14,1766.9052,2025-04-03,Disputed
INV00155,S037339,C00213,2025-07-22,21930.18,3947.4323999999997,2025-07-22,Overdue
INV00156,S072195,C00191,2025-12-11,48783.299999999996,8780.993999999999,2025-12-11,Paid
INV00157,S089898,C00633,2026-05-25,9140.7,1645.326,2026-05-25,Overdue
INV00158,S061067,C00312,2024-09-21,18110.1,3259.8179999999998,2024-09-21,Disputed
INV00159,S016736,C00471,2025-01-18,59747.22,10754.4996,2025-01-18,Disputed
INV00160,S030608,C00518,2026-02-06,9663.720000000001,1739.4696000000001,2026-02-06,Disputed
INV00161,S053212,C00243,2024-07-09,8685.22,1563.3395999999998,2024-07-09,Paid
INV00162,S054192,C00851,2024-06-20,10656.07,1918.0926,2024-06-20,Pending
INV00163,S075826,C00758,2024-08-20,35578.23,6404.0814,2024-08-20,Paid
INV00164,S081961,C00616,2025-10-16,53741.89,9673.5402,2025-10-16,Pending
INV00165,S014666,C00802,2025-03-23,42544.13,7657.943399999999,2025-03-23,Overdue
INV00166,S022462,C00172,2025-12-22,24047.48,4328.5464,2025-12-22,Overdue
INV00167,S025226,C00089,2024-10-09,32369.66,5826.538799999999,2024-10-09,Disputed
INV00168,S006240,C00120,2026-03-10,58428.57,10517.1426,2026-03-10,Disputed
INV00169,S065703,C00348,2025-04-02,48199.71,8675.9478,2025-04-02,Disputed
INV00170,S047096,C00746,2025-10-16,27180.31,4892.4558,2025-10-16,Disputed
INV00171,S050877,C00480,2025-02-23,25493.84,4588.8912,2025-02-23,Paid
INV00172,S048630,C00181,2025-10-27,56292.96,10132.7328,2025-10-27,Pending
INV00173,S036728,C00449,2026-04-09,14058.02,2530.4436,2026-04-09,Paid
INV00174,S013628,C00302,2026-05-13,39251.65,7065.297,2026-05-13,Paid
INV00175,S036873,C00490,2024-07-26,24259.96,4366.792799999999,2024-07-26,Paid
INV00176,S022677,C00334,2025-03-12,34471.619999999995,6204.891599999999,2025-03-12,Paid
INV00177,S068218,C00482,2025-06-03,17466.91,3144.0438,2025-06-03,Disputed
INV00178,S079503,C00660,2025-11-22,13676.8,2461.8239999999996,2025-11-22,Paid
INV00179,S015926,C00718,2025-10-05,24635.75,4434.4349999999995,2025-10-05,Paid
INV00180,S013706,C00263,2024-08-21,56400.979999999996,10152.176399999998,2024-08-21,Overdue
INV00181,S061185,C00492,2025-07-25,22855.04,4113.9072,2025-07-25,Pending
INV00182,S050148,C00028,2025-09-30,16368.91,2946.4038,2025-09-30,Overdue
INV00183,S012679,C00678,2024-08-27,41137.649999999994,7404.776999999998,2024-08-27,Disputed
INV00184,S020222,C00037,2026-05-13,12956.81,2332.2257999999997,2026-05-13,Overdue
INV00185,S096512,C00896,2026-05-01,40679.0,7322.219999999999,2026-05-01,Overdue
INV00186,S027997,C00862,2025-09-10,54176.020000000004,9751.6836,2025-09-10,Pending
INV00187,S069441,C00723,2026-02-16,52813.350000000006,9506.403,2026-02-16,Pending
INV00188,S015818,C00035,2024-11-02,43242.14,7783.5851999999995,2024-11-02,Pending
INV00189,S017527,C00101,2026-06-02,40456.2,7282.115999999999,2026-06-02,Disputed
INV00190,S025549,C00992,2024-12-27,18359.72,3304.7496,2024-12-27,Overdue
INV00191,S079640,C00147,2024-12-31,54698.08,9845.6544,2024-12-31,Pending
INV00192,S081935,C00834,2024-12-04,16047.98,2888.6364,2024-12-04,Overdue
INV00193,S012325,C00671,2025-04-19,31502.93,5670.5274,2025-04-19,Pending
INV00194,S052135,C00682,2025-09-29,42815.67,7706.820599999999,2025-09-29,Overdue
INV00195,S000323,C00763,2024-07-30,17053.510000000002,3069.6318,2024-07-30,Overdue
INV00196,S092377,C00726,2024-10-26,58052.96,10449.532799999999,2024-10-26,Overdue
INV00197,S015473,C00315,2025-05-16,48556.090000000004,8740.0962,2025-05-16,Overdue
INV00198,S053412,C00831,2026-01-17,20900.96,3762.1728,2026-01-17,Disputed
INV00199,S006523,C00478,2025-10-17,5449.67,980.9406,2025-10-17,Paid
INV00200,S027235,C00324,2026-03-04,30865.82,5555.8476,2026-03-04,Pending
INV00201,S092296,C00006,2025-06-17,37857.93,6814.4274,2025-06-17,Overdue
INV00202,S092466,C00991,2025-08-08,47169.71,8490.5478,2025-08-08,Overdue
INV00203,S074264,C00594,2024-12-05,48947.329999999994,8810.5194,2024-12-05,Overdue
INV00204,S067246,C00917,2024-09-08,43953.9,7911.702,2024-09-08,Pending
INV00205,S086291,C00649,2025-12-14,33868.11,6096.2598,2025-12-14,Pending
INV00206,S068378,C00153,2025-03-27,27359.02,4924.6236,2025-03-27,Pending
INV00207,S060045,C00465,2025-07-17,30838.32,5550.897599999999,2025-07-17,Disputed
INV00208,S047975,C00053,2025-10-19,31609.469999999998,5689.704599999999,2025-10-19,Paid
INV00209,S083965,C00107,2025-04-08,44784.26,8061.1668,2025-04-08,Disputed
INV00210,S083497,C00798,2024-12-23,38057.72,6850.3895999999995,2024-12-23,Disputed
INV00211,S007859,C00450,2024-08-17,29491.309999999998,5308.435799999999,2024-08-17,Pending
INV00212,S083902,C00827,2025-10-04,10980.22,1976.4395999999997,2025-10-04,Pending
INV00213,S010212,C00400,2026-03-02,23855.300000000003,4293.954000000001,2026-03-02,Pending
INV00214,S014955,C00671,2026-05-13,37928.54,6827.1372,2026-05-13,Overdue
INV00215,S093147,C00555,2024-10-05,23667.02,4260.0635999999995,2024-10-05,Paid
INV00216,S030857,C00324,2024-09-18,55603.88,10008.6984,2024-09-18,Overdue
INV00217,S071680,C00996,2025-02-10,54423.89,9796.3002,2025-02-10,Paid
INV00218,S049731,C00435,2025-06-15,30986.4,5577.552,2025-06-15,Pending
INV00219,S088573,C00624,2025-04-22,18779.48,3380.3064,2025-04-22,Overdue
INV00220,S010325,C00037,2025-02-24,20828.63,3749.1534,2025-02-24,Pending
INV00221,S018426,C00726,2025-01-30,48704.53,8766.8154,2025-01-30,Disputed
INV00222,S060779,C00447,2025-07-02,52790.93,9502.3674,2025-07-02,Overdue
INV00223,S007001,C00202,2024-09-22,28949.16,5210.8488,2024-09-22,Disputed
INV00224,S067971,C00736,2026-03-27,52263.57,9407.4426,2026-03-27,Paid
INV00225,S067958,C00236,2025-08-04,47914.08,8624.5344,2025-08-04,Pending
INV00226,S010912,C00065,2025-11-11,40250.93,7245.167399999999,2025-11-11,Pending
INV00227,S002553,C00951,2024-10-24,6983.43,1257.0174,2024-10-24,Paid
INV00228,S085794,C00486,2025-05-24,56042.25,10087.605,2025-05-24,Overdue
INV00229,S063054,C00964,2025-09-22,39048.03,7028.645399999999,2025-09-22,Disputed
INV00230,S086158,C00976,2024-12-10,33983.31,6116.9958,2024-12-10,Paid
INV00231,S054092,C00600,2025-03-13,25562.91,4601.3238,2025-03-13,Pending
INV00232,S028186,C00645,2025-09-02,56624.92,10192.4856,2025-09-02,Paid
INV00233,S000681,C00269,2025-02-11,23274.170000000002,4189.3506,2025-02-11,Pending
INV00234,S002258,C00120,2024-10-17,52320.62,9417.7116,2024-10-17,Overdue
INV00235,S077410,C00342,2025-12-29,33705.78,6067.0404,2025-12-29,Overdue
INV00236,S000817,C00139,2025-06-08,38932.05,7007.769,2025-06-08,Paid
INV00237,S043044,C00726,2025-03-06,30801.399999999998,5544.2519999999995,2025-03-06,Disputed
INV00238,S069833,C00980,2026-05-11,12538.08,2256.8543999999997,2026-05-11,Pending
INV00239,S015093,C00188,2025-03-18,28232.260000000002,5081.8068,2025-03-18,Paid
INV00240,S057438,C00985,2024-06-04,22081.43,3974.6574,2024-06-04,Overdue
INV00241,S036203,C00523,2025-12-10,10263.79,1847.4822000000001,2025-12-10,Paid
INV00242,S091931,C00380,2025-11-27,22571.57,4062.8826,2025-11-27,Pending
INV00243,S014034,C00006,2024-12-07,17396.96,3131.4527999999996,2024-12-07,Pending
INV00244,S006173,C00207,2025-02-11,55099.84,9917.971199999998,2025-02-11,Paid
INV00245,S087505,C00953,2025-02-17,46971.3,8454.834,2025-02-17,Overdue
INV00246,S027218,C00004,2024-12-23,32811.83,5906.1294,2024-12-23,Disputed
INV00247,S051943,C00768,2026-02-23,7948.17,1430.6706,2026-02-23,Pending
INV00248,S087738,C00530,2024-07-24,49991.479999999996,8998.4664,2024-07-24,Pending
INV00249,S013811,C00640,2026-04-17,33822.2,6087.995999999999,2026-04-17,Pending
INV00250,S037190,C00588,2025-07-10,46825.36,8428.5648,2025-07-10,Paid
INV00251,S058120,C00555,2026-03-06,55190.17,9934.230599999999,2026-03-06,Paid
INV00252,S041885,C00915,2024-11-28,20920.73,3765.7313999999997,2024-11-28,Paid
INV00253,S095876,C00047,2025-02-17,28223.68,5080.2624,2025-02-17,Overdue
INV00254,S021021,C00702,2024-11-20,7486.13,1347.5034,2024-11-20,Overdue
INV00255,S079311,C00828,2025-09-10,22095.45,3977.181,2025-09-10,Overdue
INV00256,S013933,C00395,2026-03-14,38959.009999999995,7012.621799999999,2026-03-14,Paid
INV00257,S015179,C00986,2024-12-11,38271.87,6888.9366,2024-12-11,Paid
INV00258,S001440,C00657,2025-12-07,52233.04,9401.9472,2025-12-07,Overdue
INV00259,S019634,C00028,2025-07-08,49972.670000000006,8995.080600000001,2025-07-08,Disputed
INV00260,S082237,C00811,2025-04-11,17051.35,3069.2429999999995,2025-04-11,Disputed
INV00261,S042377,C00818,2024-08-21,41777.829999999994,7520.009399999999,2024-08-21,Paid
INV00262,S025413,C00374,2024-09-10,37125.1,6682.517999999999,2024-09-10,Overdue
INV00263,S097445,C00709,2025-05-03,42111.92,7580.1456,2025-05-03,Pending
INV00264,S088167,C00361,2026-02-28,27469.61,4944.5298,2026-02-28,Paid
INV00265,S088172,C00889,2025-05-21,28359.51,5104.711799999999,2025-05-21,Overdue
INV00266,S016853,C00439,2025-01-02,21502.07,3870.3725999999997,2025-01-02,Pending
INV00267,S042419,C00633,2025-10-21,23459.559999999998,4222.720799999999,2025-10-21,Overdue
INV00268,S049990,C00414,2025-04-02,17289.579999999998,3112.1243999999997,2025-04-02,Overdue
INV00269,S049397,C00986,2026-05-11,50286.54,9051.5772,2026-05-11,Disputed
INV00270,S052690,C00702,2024-11-09,24697.03,4445.4654,2024-11-09,Overdue
INV00271,S085383,C00121,2025-07-08,16326.91,2938.8437999999996,2025-07-08,Disputed
INV00272,S006883,C00018,2025-09-13,36170.6,6510.708,2025-09-13,Pending
INV00273,S064640,C00107,2025-02-19,17297.72,3113.5896000000002,2025-02-19,Pending
INV00274,S062812,C00755,2026-05-17,56297.31,10133.5158,2026-05-17,Paid
INV00275,S000571,C00341,2025-12-31,28088.550000000003,5055.939,2025-12-31,Pending
INV00276,S067204,C00939,2025-05-27,22690.18,4084.2324,2025-05-27,Overdue
INV00277,S025515,C00074,2024-06-23,15820.26,2847.6468,2024-06-23,Overdue
INV00278,S082765,C00985,2025-07-19,37000.83,6660.1494,2025-07-19,Disputed
INV00279,S095902,C00100,2026-01-01,59873.64,10777.2552,2026-01-01,Disputed
INV00280,S091242,C00666,2025-07-01,12121.24,2181.8232,2025-07-01,Overdue
INV00281,S050263,C00031,2025-03-12,43557.37,7840.3266,2025-03-12,Pending
INV00282,S038530,C00493,2024-11-23,46369.85,8346.573,2024-11-23,Disputed
INV00283,S016613,C00136,2025-08-10,38682.32,6962.817599999999,2025-08-10,Pending
INV00284,S044009,C00574,2026-03-28,40930.97,7367.5746,2026-03-28,Paid
INV00285,S059061,C00087,2024-11-16,21620.47,3891.6846,2024-11-16,Pending
INV00286,S043845,C00007,2025-08-25,14692.72,2644.6895999999997,2025-08-25,Paid
INV00287,S007999,C00354,2025-01-21,50451.2,9081.215999999999,2025-01-21,Overdue
INV00288,S096872,C00715,2024-07-11,17374.760000000002,3127.4568000000004,2024-07-11,Paid
INV00289,S028376,C00797,2024-09-30,55039.42,9907.095599999999,2024-09-30,Overdue
INV00290,S055761,C00102,2024-09-25,33457.93,6022.4274,2024-09-25,Disputed
INV00291,S074347,C00332,2025-10-11,31858.47,5734.5246,2025-10-11,Overdue
INV00292,S033648,C00245,2025-03-21,32673.769999999997,5881.2786,2025-03-21,Disputed
INV00293,S052123,C00276,2026-03-09,47622.29,8572.0122,2026-03-09,Paid
INV00294,S065638,C00332,2026-05-16,53543.71,9637.8678,2026-05-16,Pending
INV00295,S089974,C00091,2024-11-28,51147.850000000006,9206.613000000001,2024-11-28,Disputed
INV00296,S001376,C00561,2026-03-16,14408.27,2593.4886,2026-03-16,Overdue
INV00297,S066886,C00266,2024-08-14,39380.54,7088.4972,2024-08-14,Overdue
INV00298,S071296,C00366,2024-10-25,27578.9,4964.202,2024-10-25,Pending
INV00299,S008931,C00080,2025-11-08,36366.5,6545.969999999999,2025-11-08,Overdue
INV00300,S022739,C00933,2025-09-05,44398.81,7991.7858,2025-09-05,Disputed
INV00301,S060031,C00661,2024-06-17,17107.95,3079.431,2024-06-17,Paid
INV00302,S038845,C00514,2026-03-25,47845.520000000004,8612.1936,2026-03-25,Disputed
INV00303,S070928,C00986,2025-07-03,9510.06,1711.8107999999997,2025-07-03,Paid
INV00304,S043922,C00087,2024-07-28,37277.42,6709.9356,2024-07-28,Disputed
INV00305,S010278,C00104,2025-04-30,49860.03,8974.8054,2025-04-30,Overdue
INV00306,S077234,C00091,2024-09-27,33712.21,6068.1978,2024-09-27,Disputed
INV00307,S089623,C00327,2024-06-11,27771.920000000002,4998.9456,2024-06-11,Paid
INV00308,S087383,C00752,2026-04-03,38574.450000000004,6943.401000000001,2026-04-03,Paid
INV00309,S042520,C00555,2024-09-02,19959.84,3592.7711999999997,2024-09-02,Overdue
INV00310,S009878,C00272,2026-05-14,37143.72,6685.8696,2026-05-14,Paid
INV00311,S093689,C00760,2024-12-09,46678.64,8402.1552,2024-12-09,Disputed
INV00312,S016306,C00246,2024-07-03,25424.440000000002,4576.3992,2024-07-03,Overdue
INV00313,S064402,C00983,2025-01-10,38233.74,6882.0732,2025-01-10,Overdue
INV00314,S008635,C00398,2025-07-16,48927.9,8807.022,2025-07-16,Pending
INV00315,S053995,C00200,2024-06-09,50293.93000000001,9052.907400000002,2024-06-09,Disputed
