claim_id,shipment_id,claim_amount,claim_reason,claim_status
CL00222,S072823,1011,Customs Issue,Under Review
CL00223,S050653,14794,Lost Container,Closed
CL00224,S044114,1706,Lost Container,Open
CL00225,S010075,13842,Late Delivery,Under Review
CL00226,S089322,6784,Customs Issue,Open
CL00227,S097475,6293,Customs Issue,Open
CL00228,S091196,8254,Customs Issue,Open
CL00229,S044895,522,Customs Issue,Closed
CL00230,S043885,14007,Damage,Closed
CL00231,S059698,10617,Late Delivery,Under Review
CL00232,S024898,8158,Late Delivery,Open
CL00233,S043459,4343,Lost Container,Under Review
CL00234,S058912,2609,Customs Issue,Closed
CL00235,S070989,8032,Damage,Under Review
CL00236,S071559,13802,Lost Container,Closed
CL00237,S085591,7015,Damage,Closed
CL00238,S037924,2276,Late Delivery,Open
CL00239,S032052,875,Late Delivery,Under Review
CL00240,S009933,11188,Late Delivery,Under Review
CL00241,S039053,6652,Damage,Open
CL00242,S030284,9642,Damage,Closed
CL00243,S082162,7531,Damage,Under Review
CL00244,S069370,13504,Late Delivery,Open
CL00245,S034508,9848,Lost Container,Open
CL00246,S079994,2271,Damage,Closed
CL00247,S037529,3390,Damage,Closed
CL00248,S079259,8748,Customs Issue,Under Review
CL00249,S016618,3704,Customs Issue,Open
CL00250,S065707,11208,Late Delivery,Open
CL00251,S068363,14886,Late Delivery,Open
CL00252,S073800,2586,Lost Container,Open
CL00253,S038882,12221,Lost Container,Closed
CL00254,S020319,8052,Damage,Under Review
CL00255,S020881,11739,Lost Container,Open
CL00256,S029850,14692,Damage,Closed
CL00257,S074808,3278,Late Delivery,Closed
CL00258,S072546,7190,Customs Issue,Open
CL00259,S063165,698,Late Delivery,Open
CL00260,S083840,8303,Lost Container,Closed
CL00261,S045919,2910,Damage,Closed
CL00262,S018205,2155,Customs Issue,Open
CL00263,S080231,7015,Late Delivery,Closed
CL00264,S075961,1063,Late Delivery,Under Review
CL00265,S013037,3708,Late Delivery,Under Review
CL00266,S016183,8012,Customs Issue,Closed
CL00267,S002368,729,Damage,Closed
CL00268,S042289,14238,Late Delivery,Closed
CL00269,S097643,12787,Late Delivery,Open
CL00270,S056034,1257,Damage,Under Review
CL00271,S088697,11828,Damage,Open
CL00272,S085181,6396,Customs Issue,Under Review
CL00273,S038292,1230,Damage,Under Review
CL00274,S009024,1169,Customs Issue,Under Review
CL00275,S047916,9539,Damage,Open
CL00276,S022939,5938,Damage,Closed
CL00277,S014950,14332,Lost Container,Open
CL00278,S030051,6209,Late Delivery,Closed
CL00279,S005158,7810,Late Delivery,Under Review
CL00280,S035821,11915,Damage,Open
CL00281,S005410,3434,Customs Issue,Closed
CL00282,S097645,6054,Damage,Under Review
CL00283,S040395,4622,Damage,Closed
CL00284,S084055,13837,Late Delivery,Under Review
CL00285,S068707,8654,Late Delivery,Closed
CL00286,S084837,2725,Lost Container,Closed
CL00287,S022619,3977,Customs Issue,Open
CL00288,S082113,6486,Customs Issue,Open
CL00289,S057225,12815,Lost Container,Open
CL00290,S085998,623,Late Delivery,Closed
CL00291,S005815,7722,Late Delivery,Closed
CL00292,S016550,9222,Damage,Closed
CL00293,S005928,10538,Lost Container,Closed
CL00294,S089011,6123,Late Delivery,Under Review
CL00295,S072063,702,Lost Container,Open
CL00296,S064071,5389,Late Delivery,Under Review
CL00297,S090890,2568,Customs Issue,Under Review
CL00298,S023190,11880,Damage,Under Review
CL00299,S000879,14388,Late Delivery,Closed
CL00300,S063240,9222,Late Delivery,Closed
CL00301,S067420,4245,Lost Container,Open
CL00302,S076736,2279,Lost Container,Under Review
CL00303,S004915,5639,Customs Issue,Open
CL00304,S028300,10214,Lost Container,Open
CL00305,S002526,13251,Damage,Open
CL00306,S075244,4528,Late Delivery,Under Review
CL00307,S027294,10205,Lost Container,Closed
CL00308,S029371,10280,Lost Container,Under Review
CL00309,S048431,14260,Lost Container,Under Review
CL00310,S038372,9548,Late Delivery,Closed
CL00311,S080513,3221,Customs Issue,Closed
CL00312,S021364,12226,Late Delivery,Closed
CL00313,S017443,6552,Late Delivery,Open
CL00314,S042975,4608,Late Delivery,Open
CL00315,S033126,10541,Customs Issue,Under Review
CL00316,S078519,854,Damage,Open
CL00317,S054889,13792,Late Delivery,Closed
CL00318,S074630,8517,Late Delivery,Closed
CL00319,S059897,7973,Lost Container,Open
CL00320,S052302,2196,Lost Container,Closed
CL00321,S051640,12842,Customs Issue,Under Review
CL00322,S058666,6392,Customs Issue,Closed
CL00323,S087784,2538,Lost Container,Under Review
CL00324,S041010,6540,Damage,Closed
CL00325,S076698,10387,Customs Issue,Closed
CL00326,S058462,10183,Customs Issue,Closed
CL00327,S061005,6904,Customs Issue,Under Review
CL00328,S044377,7389,Damage,Open
CL00329,S071840,4301,Late Delivery,Closed
CL00330,S001744,4676,Customs Issue,Under Review
CL00331,S099510,4431,Damage,Closed
CL00332,S053828,11001,Customs Issue,Open
CL00333,S018157,7923,Damage,Open
CL00334,S093036,10757,Lost Container,Open
CL00335,S033830,2658,Late Delivery,Closed
CL00336,S034105,6232,Customs Issue,Open
CL00337,S047268,9408,Damage,Open
CL00338,S004537,12448,Lost Container,Closed
CL00339,S050673,12414,Late Delivery,Open
CL00340,S053858,10022,Damage,Open
CL00341,S073031,6834,Lost Container,Closed
CL00342,S085818,14536,Damage,Under Review
CL00343,S025576,3761,Customs Issue,Closed
CL00344,S069946,11760,Late Delivery,Under Review
CL00345,S016904,10822,Late Delivery,Under Review
CL00346,S076025,4136,Damage,Closed
CL00347,S011951,13875,Lost Container,Open
CL00348,S041129,4816,Lost Container,Under Review
CL00349,S076501,1853,Customs Issue,Closed
CL00350,S002306,12784,Damage,Open
CL00351,S090696,6116,Customs Issue,Under Review
CL00352,S005899,14901,Lost Container,Under Review
CL00353,S093049,4744,Damage,Closed
CL00354,S017889,12185,Late Delivery,Closed
CL00355,S054101,3841,Damage,Closed
CL00356,S059987,14284,Lost Container,Closed
CL00357,S062672,2929,Late Delivery,Under Review
CL00358,S084459,5270,Damage,Under Review
CL00359,S017160,4209,Late Delivery,Under Review
CL00360,S080052,2304,Damage,Closed
CL00361,S065859,7155,Damage,Closed
CL00362,S093196,13383,Late Delivery,Closed
CL00363,S015803,10194,Late Delivery,Closed
CL00364,S080872,10325,Lost Container,Closed
CL00365,S035987,14595,Late Delivery,Under Review
CL00366,S085433,14314,Lost Container,Under Review
CL00367,S075259,4661,Late Delivery,Open
CL00368,S017157,10519,Customs Issue,Closed
CL00369,S093529,6861,Damage,Open
CL00370,S077478,1934,Customs Issue,Under Review
CL00371,S059877,4435,Late Delivery,Closed
CL00372,S064445,1733,Lost Container,Closed
CL00373,S049551,14130,Damage,Open
CL00374,S027557,11656,Damage,Closed
CL00375,S058893,6386,Lost Container,Closed
CL00376,S029805,14004,Late Delivery,Closed
CL00377,S012499,9475,Damage,Under Review
CL00378,S060506,6990,Late Delivery,Closed
CL00379,S026974,8210,Lost Container,Closed
CL00380,S048169,4018,Damage,Closed
CL00381,S019972,4240,Damage,Closed
CL00382,S032896,13396,Damage,Under Review
CL00383,S034694,11714,Customs Issue,Open
CL00384,S028994,4797,Lost Container,Open
CL00385,S001010,11030,Lost Container,Closed
CL00386,S055041,2523,Lost Container,Closed
CL00387,S058598,11202,Lost Container,Open
CL00388,S060050,9397,Customs Issue,Closed
CL00389,S087024,6029,Lost Container,Under Review
CL00390,S075068,14605,Customs Issue,Open
CL00391,S018042,14349,Lost Container,Closed
CL00392,S056545,12175,Customs Issue,Open
CL00393,S008510,4614,Late Delivery,Open
CL00394,S024591,12232,Damage,Under Review
CL00395,S094684,14350,Lost Container,Open
CL00396,S067515,11316,Lost Container,Closed
CL00397,S080378,8791,Late Delivery,Closed
CL00398,S008543,1539,Customs Issue,Under Review
CL00399,S044406,7396,Damage,Closed
CL00400,S098446,3659,Damage,Under Review
CL00401,S051518,3358,Customs Issue,Closed
CL00402,S013617,9708,Customs Issue,Closed
CL00403,S037722,13989,Late Delivery,Open
CL00404,S001222,13249,Damage,Closed
CL00405,S015802,10790,Damage,Closed
CL00406,S049999,3246,Lost Container,Closed
CL00407,S063968,9574,Lost Container,Open
CL00408,S028210,13976,Damage,Open
CL00409,S001890,3572,Customs Issue,Open
CL00410,S042576,12351,Lost Container,Closed
CL00411,S002684,11950,Late Delivery,Closed
CL00412,S045602,8898,Lost Container,Open
CL00413,S091941,9494,Customs Issue,Closed
CL00414,S095242,5990,Late Delivery,Under Review
CL00415,S062014,14851,Damage,Closed
CL00416,S041747,8973,Late Delivery,Closed
CL00417,S043513,1670,Late Delivery,Open
CL00418,S090303,3321,Damage,Under Review
CL00419,S053704,13286,Damage,Closed
CL00420,S042264,11602,Customs Issue,Closed
CL00421,S003639,9482,Damage,Closed
CL00422,S077767,12604,Lost Container,Under Review
CL00423,S099924,7159,Lost Container,Open
CL00424,S075807,3717,Customs Issue,Closed
CL00425,S096397,12078,Late Delivery,Open
CL00426,S001885,12625,Customs Issue,Open
CL00427,S023151,8730,Damage,Under Review
CL00428,S068693,6623,Customs Issue,Under Review
CL00429,S034847,14709,Damage,Open
CL00430,S044359,10796,Lost Container,Under Review
CL00431,S009219,12958,Damage,Closed
CL00432,S084895,8295,Customs Issue,Open
CL00433,S009018,13363,Damage,Under Review
CL00434,S037378,2840,Damage,Under Review
CL00435,S080384,7205,Late Delivery,Open
CL00436,S036905,11916,Late Delivery,Closed
CL00437,S066699,13022,Customs Issue,Under Review
CL00438,S035073,9975,Customs Issue,Under Review
CL00439,S054644,6595,Late Delivery,Closed
CL00440,S082213,6375,Lost Container,Closed
CL00441,S037856,4445,Lost Container,Open
CL00442,S011977,2698,Customs Issue,Under Review
CL00443,S088770,14828,Customs Issue,Under Review
CL00444,S023020,12342,Lost Container,Under Review
CL00445,S093799,6243,Lost Container,Open
CL00446,S011293,663,Late Delivery,Open
CL00447,S085903,4315,Damage,Under Review
CL00448,S002675,5793,Lost Container,Closed
CL00449,S071027,14216,Customs Issue,Open
CL00450,S077560,8300,Damage,Under Review
CL00451,S098130,12840,Customs Issue,Open
CL00452,S047183,1571,Lost Container,Open
CL00453,S053787,2599,Customs Issue,Open
CL00454,S091572,9139,Damage,Open
CL00455,S011446,13634,Damage,Closed
CL00456,S030959,3777,Lost Container,Under Review
CL00457,S031794,8282,Late Delivery,Closed
CL00458,S095290,5812,Damage,Closed
CL00459,S076718,6110,Damage,Open
CL00460,S087573,9750,Customs Issue,Under Review
CL00461,S030459,12097,Damage,Under Review
CL00462,S000275,14557,Damage,Open
CL00463,S092688,6233,Damage,Open
CL00464,S074824,10218,Late Delivery,Under Review
CL00465,S046989,7235,Late Delivery,Open
CL00466,S011067,14936,Customs Issue,Open
CL00467,S037110,11351,Late Delivery,Open
CL00468,S028425,13764,Damage,Open
CL00469,S060282,7856,Damage,Open
CL00470,S072176,5393,Damage,Under Review
CL00471,S056106,9235,Damage,Under Review
CL00472,S011100,813,Late Delivery,Under Review
CL00473,S054208,14084,Late Delivery,Closed
CL00474,S051311,966,Late Delivery,Under Review
CL00475,S065094,10656,Customs Issue,Open
CL00476,S004847,4235,Customs Issue,Under Review
CL00477,S018134,6781,Customs Issue,Closed
CL00478,S049981,4107,Late Delivery,Open
CL00479,S005537,8918,Late Delivery,Under Review
CL00480,S099323,14637,Lost Container,Closed
CL00481,S014514,7573,Late Delivery,Under Review
CL00482,S048364,13603,Late Delivery,Under Review
CL00483,S016008,11350,Late Delivery,Open
CL00484,S051494,5097,Lost Container,Open
CL00485,S078346,4308,Late Delivery,Open
CL00486,S080265,14899,Late Delivery,Closed
CL00487,S012963,5882,Damage,Closed
CL00488,S065928,11800,Lost Container,Closed
CL00489,S010645,3527,Customs Issue,Closed
CL00490,S013265,14174,Lost Container,Closed
CL00491,S080715,14680,Lost Container,Under Review
CL00492,S064580,6591,Customs Issue,Under Review
CL00493,S082602,5502,Lost Container,Open
CL00494,S037944,2274,Late Delivery,Open
CL00495,S009843,7556,Damage,Closed
CL00496,S030523,11885,Customs Issue,Under Review
CL00497,S027345,2110,Customs Issue,Under Review
CL00498,S061864,12689,Late Delivery,Under Review
CL00499,S087687,9024,Customs Issue,Under Review
CL00500,S047747,4943,Customs Issue,Under Review
CL00501,S000559,1606,Damage,Closed
CL00502,S080453,10360,Late Delivery,Closed
CL00503,S041353,9232,Late Delivery,Under Review
CL00504,S079029,2353,Late Delivery,Closed
CL00505,S014006,11447,Customs Issue,Open
CL00506,S006316,6701,Late Delivery,Under Review
CL00507,S094625,13762,Lost Container,Open
CL00508,S003746,12866,Damage,Under Review
CL00509,S022347,14292,Customs Issue,Under Review
CL00510,S011766,10368,Customs Issue,Open
CL00511,S070519,1066,Lost Container,Closed
CL00512,S014627,12159,Late Delivery,Closed
CL00513,S081916,7949,Customs Issue,Under Review
CL00514,S056333,5147,Late Delivery,Closed
CL00515,S092119,12738,Damage,Closed
CL00516,S019203,10574,Damage,Open
CL00517,S089711,5426,Damage,Under Review
CL00518,S027465,8375,Customs Issue,Closed
CL00519,S071906,11637,Lost Container,Under Review
CL00520,S012835,4179,Customs Issue,Under Review
CL00521,S017187,13251,Customs Issue,Closed
CL00522,S069902,729,Lost Container,Closed
CL00523,S074152,9710,Damage,Closed
CL00524,S006544,13365,Customs Issue,Under Review
CL00525,S049466,14595,Damage,Closed
CL00526,S096811,13839,Late Delivery,Open
CL00527,S061994,8211,Customs Issue,Open
CL00528,S013697,1623,Damage,Closed
CL00529,S078056,3792,Late Delivery,Open
CL00530,S072019,13585,Customs Issue,Under Review
CL00531,S002818,14172,Damage,Closed
CL00532,S047581,2394,Lost Container,Under Review
CL00533,S067547,8575,Damage,Open
CL00534,S085753,5105,Damage,Open
CL00535,S025415,7876,Damage,Closed
CL00536,S073237,2257,Damage,Closed
CL00537,S046341,6577,Damage,Under Review
CL00538,S087743,4688,Lost Container,Closed
CL00539,S070759,12534,Damage,Closed
CL00540,S002765,8253,Damage,Open
CL00541,S047854,6307,Damage,Closed
CL00542,S006941,4130,Late Delivery,Under Review
CL00543,S050199,13682,Customs Issue,Under Review
CL00544,S074565,9973,Customs Issue,Under Review
CL00545,S048454,11564,Customs Issue,Under Review
CL00546,S094795,7584,Damage,Open
CL00547,S022895,6589,Customs Issue,Closed
CL00548,S039695,11320,Customs Issue,Closed
CL00549,S000865,12648,Customs Issue,Under Review
CL00550,S099308,5381,Late Delivery,Open
CL00551,S031449,3985,Damage,Closed
CL00552,S061470,3265,Damage,Open
CL00553,S020648,6672,Customs Issue,Open
CL00554,S049016,3722,Late Delivery,Under Review
CL00555,S062987,14791,Late Delivery,Under Review
CL00556,S009599,2162,Late Delivery,Closed
CL00557,S006701,14136,Customs Issue,Closed
CL00558,S035842,14784,Damage,Open
CL00559,S075906,12889,Lost Container,Under Review
CL00560,S042937,13614,Damage,Open
CL00561,S046463,11327,Late Delivery,Closed
CL00562,S076870,5645,Damage,Open
CL00563,S062502,11788,Damage,Closed
CL00564,S013473,14081,Lost Container,Open
CL00565,S046012,8696,Customs Issue,Closed
CL00566,S093331,525,Damage,Closed
CL00567,S025312,2443,Customs Issue,Open
CL00568,S046465,8215,Customs Issue,Open
CL00569,S016349,10990,Lost Container,Closed
CL00570,S091528,1494,Lost Container,Open
CL00571,S020007,5861,Customs Issue,Under Review
CL00572,S066746,13621,Late Delivery,Open
CL00573,S046066,6835,Lost Container,Under Review
CL00574,S014864,13624,Lost Container,Open
CL00575,S055346,12003,Damage,Open
CL00576,S000513,10149,Late Delivery,Closed
CL00577,S037365,13792,Damage,Closed
CL00578,S003753,3412,Lost Container,Under Review
CL00579,S071531,11381,Lost Container,Under Review
CL00580,S081936,8597,Damage,Under Review
CL00581,S078714,10465,Late Delivery,Closed
CL00582,S043271,6988,Damage,Open
CL00583,S049650,11993,Damage,Under Review
CL00584,S076458,7958,Late Delivery,Open
CL00585,S097651,1183,Damage,Under Review
CL00586,S068067,8681,Lost Container,Closed
CL00587,S037498,14106,Damage,Under Review
CL00588,S087757,7540,Late Delivery,Under Review
CL00589,S080487,12285,Damage,Under Review
CL00590,S085565,1281,Damage,Under Review
CL00591,S032749,8938,Damage,Under Review
CL00592,S064698,2520,Late Delivery,Closed
CL00593,S029349,5431,Customs Issue,Under Review
CL00594,S067831,2879,Lost Container,Closed
CL00595,S087510,7616,Lost Container,Closed
CL00596,S077157,2734,Customs Issue,Closed
CL00597,S074863,11832,Customs Issue,Closed
CL00598,S048278,10345,Late Delivery,Closed
CL00599,S045182,13314,Customs Issue,Closed
CL00600,S055507,1481,Late Delivery,Open
CL00601,S035212,11053,Late Delivery,Under Review
CL00602,S064324,5277,Customs Issue,Open
CL00603,S060160,8012,Late Delivery,Under Review
CL00604,S054571,13037,Damage,Under Review
CL00605,S080718,10863,Customs Issue,Open
CL00606,S005731,4359,Damage,Open
CL00607,S024559,9462,Customs Issue,Under Review
CL00608,S041395,694,Lost Container,Open
CL00609,S084934,2570,Damage,Open
CL00610,S067504,8072,Late Delivery,Open
CL00611,S047899,3111,Lost Container,Open
CL00612,S099831,7953,Damage,Under Review
CL00613,S056019,13199,Damage,Open
CL00614,S041350,6913,Damage,Under Review
CL00615,S070761,5239,Lost Container,Under Review
CL00616,S018149,2563,Damage,Open
CL00617,S078462,13639,Customs Issue,Under Review
CL00618,S074511,2307,Customs Issue,Under Review
CL00619,S026933,11300,Late Delivery,Open
CL00620,S006014,10040,Damage,Closed
CL00621,S003462,9618,Late Delivery,Open
CL00622,S090295,14825,Late Delivery,Open
CL00623,S010420,13817,Lost Container,Closed
CL00624,S014771,6411,Damage,Closed
CL00625,S039743,3454,Late Delivery,Open
CL00626,S077030,12702,Damage,Closed
CL00627,S001722,1238,Damage,Under Review
CL00628,S059389,5066,Late Delivery,Closed
CL00629,S008566,12401,Late Delivery,Closed
CL00630,S061742,2714,Lost Container,Under Review
CL00631,S072820,7856,Lost Container,Under Review
CL00632,S010571,14385,Damage,Under Review
CL00633,S048207,11553,Damage,Closed
CL00634,S038609,4194,Lost Container,Closed
